h,36,4.28%,0.02965
h,48,4.35%,0.02274
h,60,4.57%,0.01867
h,72,4.65%,0.01594
h,84,4.75%,0.01401
l,36,5.05%,0.02999
l,48,5.30%,0.02317
l,60,5.50%,0.01910
l,72,6.10%,0.01662
l,84,6.30%,0.01475
